path,expected_class,predicted_class,confidence,is_uncertain
data\external_test_realwaste\cardboard\Cardboard_191.jpg,cardboard,paper,0.822951,False
data\external_test_realwaste\cardboard\Cardboard_192.jpg,cardboard,paper,0.506697,True
data\external_test_realwaste\cardboard\Cardboard_193.jpg,cardboard,trash,0.538256,True
data\external_test_realwaste\cardboard\Cardboard_196.jpg,cardboard,paper,0.483037,True
data\external_test_realwaste\cardboard\Cardboard_197.jpg,cardboard,trash,0.769407,False
data\external_test_realwaste\cardboard\Cardboard_198.jpg,cardboard,trash,0.850843,False
data\external_test_realwaste\cardboard\Cardboard_199.jpg,cardboard,plastic,0.62943,False
data\external_test_realwaste\cardboard\Cardboard_2.jpg,cardboard,trash,0.627079,False
data\external_test_realwaste\cardboard\Cardboard_20.jpg,cardboard,paper,0.65985,False
data\external_test_realwaste\cardboard\Cardboard_200.jpg,cardboard,trash,0.729672,False
data\external_test_realwaste\cardboard\Cardboard_201.jpg,cardboard,trash,0.870996,False
data\external_test_realwaste\cardboard\Cardboard_202.jpg,cardboard,paper,0.479841,True
data\external_test_realwaste\cardboard\Cardboard_203.jpg,cardboard,trash,0.934839,False
data\external_test_realwaste\cardboard\Cardboard_204.jpg,cardboard,trash,0.926826,False
data\external_test_realwaste\cardboard\Cardboard_205.jpg,cardboard,plastic,0.655908,False
data\external_test_realwaste\cardboard\Cardboard_206.jpg,cardboard,trash,0.710204,False
data\external_test_realwaste\cardboard\Cardboard_207.jpg,cardboard,trash,0.835602,False
data\external_test_realwaste\cardboard\Cardboard_208.jpg,cardboard,trash,0.965465,False
data\external_test_realwaste\cardboard\Cardboard_209.jpg,cardboard,trash,0.967746,False
data\external_test_realwaste\cardboard\Cardboard_21.jpg,cardboard,metal,0.520696,True
data\external_test_realwaste\cardboard\Cardboard_210.jpg,cardboard,trash,0.828684,False
data\external_test_realwaste\cardboard\Cardboard_211.jpg,cardboard,trash,0.77091,False
data\external_test_realwaste\cardboard\Cardboard_212.jpg,cardboard,paper,0.858181,False
data\external_test_realwaste\cardboard\Cardboard_213.jpg,cardboard,paper,0.399657,True
data\external_test_realwaste\cardboard\Cardboard_214.jpg,cardboard,trash,0.785888,False
data\external_test_realwaste\cardboard\Cardboard_215.jpg,cardboard,trash,0.904295,False
data\external_test_realwaste\cardboard\Cardboard_216.jpg,cardboard,paper,0.949134,False
data\external_test_realwaste\cardboard\Cardboard_217.jpg,cardboard,trash,0.557039,True
data\external_test_realwaste\cardboard\Cardboard_221.jpg,cardboard,trash,0.944905,False
data\external_test_realwaste\cardboard\Cardboard_222.jpg,cardboard,paper,0.781095,False
data\external_test_realwaste\cardboard\Cardboard_223.jpg,cardboard,paper,0.79482,False
data\external_test_realwaste\cardboard\Cardboard_224.jpg,cardboard,paper,0.99401,False
data\external_test_realwaste\cardboard\Cardboard_225.jpg,cardboard,paper,0.983352,False
data\external_test_realwaste\cardboard\Cardboard_226.jpg,cardboard,trash,0.704121,False
data\external_test_realwaste\cardboard\Cardboard_227.jpg,cardboard,trash,0.917395,False
data\external_test_realwaste\cardboard\Cardboard_228.jpg,cardboard,trash,0.812115,False
data\external_test_realwaste\cardboard\Cardboard_229.jpg,cardboard,trash,0.973159,False
data\external_test_realwaste\cardboard\Cardboard_23.jpg,cardboard,paper,0.990321,False
data\external_test_realwaste\cardboard\Cardboard_230.jpg,cardboard,trash,0.856965,False
data\external_test_realwaste\cardboard\Cardboard_231.jpg,cardboard,trash,0.903955,False
data\external_test_realwaste\cardboard\Cardboard_232.jpg,cardboard,trash,0.674569,False
data\external_test_realwaste\cardboard\Cardboard_234.jpg,cardboard,trash,0.934625,False
data\external_test_realwaste\cardboard\Cardboard_235.jpg,cardboard,paper,0.554625,True
data\external_test_realwaste\cardboard\Cardboard_236.jpg,cardboard,trash,0.970497,False
data\external_test_realwaste\cardboard\Cardboard_237.jpg,cardboard,paper,0.97872,False
data\external_test_realwaste\cardboard\Cardboard_238.jpg,cardboard,trash,0.673344,False
data\external_test_realwaste\cardboard\Cardboard_239.jpg,cardboard,trash,0.604271,False
data\external_test_realwaste\cardboard\Cardboard_24.jpg,cardboard,trash,0.93555,False
data\external_test_realwaste\cardboard\Cardboard_240.jpg,cardboard,trash,0.501837,True
data\external_test_realwaste\cardboard\Cardboard_241.jpg,cardboard,trash,0.758193,False
data\external_test_realwaste\cardboard\Cardboard_242.jpg,cardboard,paper,0.994874,False
data\external_test_realwaste\cardboard\Cardboard_243.jpg,cardboard,paper,0.772373,False
data\external_test_realwaste\cardboard\Cardboard_244.jpg,cardboard,trash,0.824441,False
data\external_test_realwaste\cardboard\Cardboard_245.jpg,cardboard,paper,0.474509,True
data\external_test_realwaste\cardboard\Cardboard_247.jpg,cardboard,paper,0.850285,False
data\external_test_realwaste\cardboard\Cardboard_248.jpg,cardboard,paper,0.817167,False
data\external_test_realwaste\cardboard\Cardboard_249.jpg,cardboard,trash,0.970854,False
data\external_test_realwaste\cardboard\Cardboard_250.jpg,cardboard,trash,0.950611,False
data\external_test_realwaste\cardboard\Cardboard_251.jpg,cardboard,trash,0.99531,False
data\external_test_realwaste\cardboard\Cardboard_252.jpg,cardboard,trash,0.97344,False
data\external_test_realwaste\cardboard\Cardboard_253.jpg,cardboard,trash,0.643776,False
data\external_test_realwaste\cardboard\Cardboard_254.jpg,cardboard,trash,0.678956,False
data\external_test_realwaste\cardboard\Cardboard_255.jpg,cardboard,trash,0.747838,False
data\external_test_realwaste\cardboard\Cardboard_256.jpg,cardboard,paper,0.828228,False
data\external_test_realwaste\cardboard\Cardboard_257.jpg,cardboard,paper,0.997317,False
data\external_test_realwaste\cardboard\Cardboard_258.jpg,cardboard,trash,0.863193,False
data\external_test_realwaste\cardboard\Cardboard_259.jpg,cardboard,trash,0.91782,False
data\external_test_realwaste\cardboard\Cardboard_26.jpg,cardboard,trash,0.933598,False
data\external_test_realwaste\cardboard\Cardboard_260.jpg,cardboard,paper,0.983425,False
data\external_test_realwaste\cardboard\Cardboard_261.jpg,cardboard,paper,0.976532,False
data\external_test_realwaste\cardboard\Cardboard_262.jpg,cardboard,trash,0.839142,False
data\external_test_realwaste\cardboard\Cardboard_263.jpg,cardboard,paper,0.616902,False
data\external_test_realwaste\cardboard\Cardboard_264.jpg,cardboard,trash,0.899442,False
data\external_test_realwaste\cardboard\Cardboard_265.jpg,cardboard,paper,0.813478,False
data\external_test_realwaste\cardboard\Cardboard_266.jpg,cardboard,plastic,0.692013,False
data\external_test_realwaste\cardboard\Cardboard_267.jpg,cardboard,trash,0.564159,True
data\external_test_realwaste\cardboard\Cardboard_268.jpg,cardboard,paper,0.931518,False
data\external_test_realwaste\cardboard\Cardboard_269.jpg,cardboard,trash,0.99715,False
data\external_test_realwaste\cardboard\Cardboard_27.jpg,cardboard,trash,0.561215,True
data\external_test_realwaste\cardboard\Cardboard_270.jpg,cardboard,paper,0.730797,False
data\external_test_realwaste\cardboard\Cardboard_271.jpg,cardboard,plastic,0.479482,True
data\external_test_realwaste\cardboard\Cardboard_272.jpg,cardboard,metal,0.885175,False
data\external_test_realwaste\cardboard\Cardboard_273.jpg,cardboard,metal,0.912442,False
data\external_test_realwaste\cardboard\Cardboard_274.jpg,cardboard,trash,0.653266,False
data\external_test_realwaste\cardboard\Cardboard_275.jpg,cardboard,paper,0.888759,False
data\external_test_realwaste\cardboard\Cardboard_276.jpg,cardboard,plastic,0.708282,False
data\external_test_realwaste\cardboard\Cardboard_277.jpg,cardboard,metal,0.977177,False
data\external_test_realwaste\cardboard\Cardboard_278.jpg,cardboard,paper,0.983718,False
data\external_test_realwaste\cardboard\Cardboard_28.jpg,cardboard,trash,0.989795,False
data\external_test_realwaste\cardboard\Cardboard_280.jpg,cardboard,paper,0.777415,False
data\external_test_realwaste\cardboard\Cardboard_281.jpg,cardboard,paper,0.737933,False
data\external_test_realwaste\cardboard\Cardboard_282.jpg,cardboard,trash,0.917075,False
data\external_test_realwaste\cardboard\Cardboard_283.jpg,cardboard,paper,0.610498,False
data\external_test_realwaste\cardboard\Cardboard_284.jpg,cardboard,trash,0.970884,False
data\external_test_realwaste\cardboard\Cardboard_285.jpg,cardboard,trash,0.853253,False
data\external_test_realwaste\cardboard\Cardboard_286.jpg,cardboard,trash,0.980453,False
data\external_test_realwaste\cardboard\Cardboard_287.jpg,cardboard,trash,0.983675,False
data\external_test_realwaste\cardboard\Cardboard_288.jpg,cardboard,plastic,0.542163,True
data\external_test_realwaste\cardboard\Cardboard_289.jpg,cardboard,paper,0.962146,False
data\external_test_realwaste\cardboard\Cardboard_290.jpg,cardboard,paper,0.777494,False
data\external_test_realwaste\cardboard\Cardboard_291.jpg,cardboard,paper,0.347536,True
data\external_test_realwaste\cardboard\Cardboard_292.jpg,cardboard,plastic,0.611432,False
data\external_test_realwaste\cardboard\Cardboard_293.jpg,cardboard,metal,0.85053,False
data\external_test_realwaste\cardboard\Cardboard_294.jpg,cardboard,metal,0.979509,False
data\external_test_realwaste\cardboard\Cardboard_295.jpg,cardboard,trash,0.820407,False
data\external_test_realwaste\cardboard\Cardboard_296.jpg,cardboard,trash,0.828052,False
data\external_test_realwaste\cardboard\Cardboard_297.jpg,cardboard,paper,0.820045,False
data\external_test_realwaste\cardboard\Cardboard_298.jpg,cardboard,paper,0.64982,False
data\external_test_realwaste\cardboard\Cardboard_299.jpg,cardboard,trash,0.838802,False
data\external_test_realwaste\cardboard\Cardboard_3.jpg,cardboard,paper,0.990736,False
data\external_test_realwaste\cardboard\Cardboard_300.jpg,cardboard,paper,0.949246,False
data\external_test_realwaste\cardboard\Cardboard_302.jpg,cardboard,paper,0.99893,False
data\external_test_realwaste\cardboard\Cardboard_303.jpg,cardboard,paper,0.990246,False
data\external_test_realwaste\cardboard\Cardboard_304.jpg,cardboard,paper,0.999958,False
data\external_test_realwaste\cardboard\Cardboard_305.jpg,cardboard,paper,0.947545,False
data\external_test_realwaste\cardboard\Cardboard_306.jpg,cardboard,paper,0.534482,True
data\external_test_realwaste\cardboard\Cardboard_307.jpg,cardboard,paper,0.66949,False
data\external_test_realwaste\cardboard\Cardboard_308.jpg,cardboard,trash,0.636354,False
data\external_test_realwaste\cardboard\Cardboard_309.jpg,cardboard,trash,0.535118,True
data\external_test_realwaste\cardboard\Cardboard_31.jpg,cardboard,trash,0.763403,False
data\external_test_realwaste\cardboard\Cardboard_310.jpg,cardboard,trash,0.903046,False
data\external_test_realwaste\cardboard\Cardboard_311.jpg,cardboard,trash,0.941821,False
data\external_test_realwaste\cardboard\Cardboard_313.jpg,cardboard,trash,0.960931,False
data\external_test_realwaste\cardboard\Cardboard_314.jpg,cardboard,trash,0.974872,False
data\external_test_realwaste\cardboard\Cardboard_315.jpg,cardboard,trash,0.968911,False
data\external_test_realwaste\cardboard\Cardboard_316.jpg,cardboard,trash,0.988212,False
data\external_test_realwaste\cardboard\Cardboard_317.jpg,cardboard,trash,0.877239,False
data\external_test_realwaste\cardboard\Cardboard_318.jpg,cardboard,trash,0.993153,False
data\external_test_realwaste\cardboard\Cardboard_319.jpg,cardboard,trash,0.997727,False
data\external_test_realwaste\cardboard\Cardboard_32.jpg,cardboard,paper,0.522378,True
data\external_test_realwaste\cardboard\Cardboard_320.jpg,cardboard,trash,0.601314,False
data\external_test_realwaste\cardboard\Cardboard_321.jpg,cardboard,trash,0.928626,False
data\external_test_realwaste\cardboard\Cardboard_322.jpg,cardboard,paper,0.887038,False
data\external_test_realwaste\cardboard\Cardboard_323.jpg,cardboard,paper,0.994572,False
data\external_test_realwaste\cardboard\Cardboard_324.jpg,cardboard,trash,0.546248,True
data\external_test_realwaste\cardboard\Cardboard_325.jpg,cardboard,trash,0.704689,False
data\external_test_realwaste\cardboard\Cardboard_326.jpg,cardboard,trash,0.500831,True
data\external_test_realwaste\cardboard\Cardboard_327.jpg,cardboard,trash,0.600463,False
data\external_test_realwaste\cardboard\Cardboard_328.jpg,cardboard,trash,0.691346,False
data\external_test_realwaste\cardboard\Cardboard_329.jpg,cardboard,paper,0.759521,False
data\external_test_realwaste\cardboard\Cardboard_33.jpg,cardboard,trash,0.824084,False
data\external_test_realwaste\cardboard\Cardboard_330.jpg,cardboard,trash,0.8963,False
data\external_test_realwaste\cardboard\Cardboard_331.jpg,cardboard,trash,0.930914,False
data\external_test_realwaste\cardboard\Cardboard_332.jpg,cardboard,trash,0.884848,False
data\external_test_realwaste\cardboard\Cardboard_333.jpg,cardboard,trash,0.894116,False
data\external_test_realwaste\cardboard\Cardboard_336.jpg,cardboard,trash,0.582498,True
data\external_test_realwaste\cardboard\Cardboard_337.jpg,cardboard,trash,0.889818,False
data\external_test_realwaste\cardboard\Cardboard_338.jpg,cardboard,trash,0.981328,False
data\external_test_realwaste\cardboard\Cardboard_339.jpg,cardboard,trash,0.845437,False
data\external_test_realwaste\cardboard\Cardboard_340.jpg,cardboard,trash,0.960481,False
data\external_test_realwaste\cardboard\Cardboard_341.jpg,cardboard,paper,0.516362,True
data\external_test_realwaste\cardboard\Cardboard_342.jpg,cardboard,plastic,0.952854,False
data\external_test_realwaste\cardboard\Cardboard_343.jpg,cardboard,paper,0.984664,False
data\external_test_realwaste\cardboard\Cardboard_344.jpg,cardboard,plastic,0.804536,False
data\external_test_realwaste\cardboard\Cardboard_345.jpg,cardboard,trash,0.387613,True
data\external_test_realwaste\cardboard\Cardboard_346.jpg,cardboard,trash,0.432295,True
data\external_test_realwaste\cardboard\Cardboard_347.jpg,cardboard,trash,0.590039,True
data\external_test_realwaste\cardboard\Cardboard_348.jpg,cardboard,trash,0.615102,False
data\external_test_realwaste\cardboard\Cardboard_349.jpg,cardboard,trash,0.701598,False
data\external_test_realwaste\cardboard\Cardboard_35.jpg,cardboard,metal,0.873845,False
data\external_test_realwaste\cardboard\Cardboard_350.jpg,cardboard,trash,0.99413,False
data\external_test_realwaste\cardboard\Cardboard_351.jpg,cardboard,trash,0.832903,False
data\external_test_realwaste\cardboard\Cardboard_352.jpg,cardboard,paper,0.819794,False
data\external_test_realwaste\cardboard\Cardboard_353.jpg,cardboard,paper,0.736529,False
data\external_test_realwaste\cardboard\Cardboard_354.jpg,cardboard,trash,0.358172,True
data\external_test_realwaste\cardboard\Cardboard_355.jpg,cardboard,metal,0.391289,True
data\external_test_realwaste\cardboard\Cardboard_356.jpg,cardboard,trash,0.845788,False
data\external_test_realwaste\cardboard\Cardboard_358.jpg,cardboard,paper,0.484347,True
data\external_test_realwaste\cardboard\Cardboard_359.jpg,cardboard,trash,0.86041,False
data\external_test_realwaste\cardboard\Cardboard_360.jpg,cardboard,paper,0.98613,False
data\external_test_realwaste\cardboard\Cardboard_361.jpg,cardboard,paper,0.681637,False
data\external_test_realwaste\cardboard\Cardboard_362.jpg,cardboard,trash,0.999389,False
data\external_test_realwaste\cardboard\Cardboard_363.jpg,cardboard,paper,0.999342,False
data\external_test_realwaste\cardboard\Cardboard_364.jpg,cardboard,trash,0.899518,False
data\external_test_realwaste\cardboard\Cardboard_365.jpg,cardboard,trash,0.550411,True
data\external_test_realwaste\cardboard\Cardboard_366.jpg,cardboard,trash,0.650792,False
data\external_test_realwaste\cardboard\Cardboard_367.jpg,cardboard,paper,0.956748,False
data\external_test_realwaste\cardboard\Cardboard_369.jpg,cardboard,paper,0.678883,False
data\external_test_realwaste\cardboard\Cardboard_37.jpg,cardboard,metal,0.983291,False
data\external_test_realwaste\cardboard\Cardboard_370.jpg,cardboard,paper,0.549,True
data\external_test_realwaste\cardboard\Cardboard_371.jpg,cardboard,paper,0.52458,True
data\external_test_realwaste\cardboard\Cardboard_372.jpg,cardboard,paper,0.883632,False
data\external_test_realwaste\cardboard\Cardboard_373.jpg,cardboard,trash,0.660835,False
data\external_test_realwaste\cardboard\Cardboard_374.jpg,cardboard,trash,0.79737,False
data\external_test_realwaste\cardboard\Cardboard_375.jpg,cardboard,paper,0.884232,False
data\external_test_realwaste\cardboard\Cardboard_376.jpg,cardboard,trash,0.998908,False
data\external_test_realwaste\cardboard\Cardboard_377.jpg,cardboard,trash,0.663568,False
data\external_test_realwaste\cardboard\Cardboard_378.jpg,cardboard,trash,0.678477,False
data\external_test_realwaste\cardboard\Cardboard_379.jpg,cardboard,trash,0.47401,True
data\external_test_realwaste\cardboard\Cardboard_38.jpg,cardboard,paper,0.5652,True
data\external_test_realwaste\cardboard\Cardboard_380.jpg,cardboard,trash,0.995511,False
data\external_test_realwaste\cardboard\Cardboard_381.jpg,cardboard,metal,0.660022,False
data\external_test_realwaste\cardboard\Cardboard_382.jpg,cardboard,trash,0.9764,False
data\external_test_realwaste\cardboard\Cardboard_383.jpg,cardboard,trash,0.867486,False
data\external_test_realwaste\cardboard\Cardboard_384.jpg,cardboard,trash,0.680168,False
data\external_test_realwaste\cardboard\Cardboard_385.jpg,cardboard,trash,0.96526,False
data\external_test_realwaste\cardboard\Cardboard_386.jpg,cardboard,plastic,0.583719,True
data\external_test_realwaste\cardboard\Cardboard_387.jpg,cardboard,paper,0.636715,False
data\external_test_realwaste\cardboard\Cardboard_388.jpg,cardboard,paper,0.844938,False
data\external_test_realwaste\cardboard\Cardboard_389.jpg,cardboard,trash,0.996323,False
data\external_test_realwaste\cardboard\Cardboard_39.jpg,cardboard,trash,0.905908,False
data\external_test_realwaste\cardboard\Cardboard_390.jpg,cardboard,paper,0.996122,False
data\external_test_realwaste\cardboard\Cardboard_391.jpg,cardboard,trash,0.716464,False
data\external_test_realwaste\cardboard\Cardboard_392.jpg,cardboard,trash,0.638203,False
data\external_test_realwaste\cardboard\Cardboard_393.jpg,cardboard,paper,0.950015,False
data\external_test_realwaste\cardboard\Cardboard_394.jpg,cardboard,paper,0.72885,False
data\external_test_realwaste\cardboard\Cardboard_395.jpg,cardboard,paper,0.963822,False
data\external_test_realwaste\cardboard\Cardboard_396.jpg,cardboard,paper,0.506886,True
data\external_test_realwaste\cardboard\Cardboard_398.jpg,cardboard,trash,0.738728,False
data\external_test_realwaste\cardboard\Cardboard_399.jpg,cardboard,trash,0.944428,False
data\external_test_realwaste\cardboard\Cardboard_4.jpg,cardboard,trash,0.750743,False
data\external_test_realwaste\cardboard\Cardboard_40.jpg,cardboard,paper,0.879102,False
data\external_test_realwaste\cardboard\Cardboard_400.jpg,cardboard,trash,0.641455,False
data\external_test_realwaste\cardboard\Cardboard_401.jpg,cardboard,paper,0.997616,False
data\external_test_realwaste\cardboard\Cardboard_402.jpg,cardboard,trash,0.620624,False
data\external_test_realwaste\cardboard\Cardboard_403.jpg,cardboard,trash,0.731013,False
data\external_test_realwaste\cardboard\Cardboard_404.jpg,cardboard,paper,0.707193,False
data\external_test_realwaste\cardboard\Cardboard_407.jpg,cardboard,paper,0.989174,False
data\external_test_realwaste\cardboard\Cardboard_408.jpg,cardboard,trash,0.913283,False
data\external_test_realwaste\cardboard\Cardboard_409.jpg,cardboard,trash,0.984471,False
data\external_test_realwaste\cardboard\Cardboard_411.jpg,cardboard,trash,0.647091,False
data\external_test_realwaste\cardboard\Cardboard_412.jpg,cardboard,trash,0.570715,True
data\external_test_realwaste\cardboard\Cardboard_413.jpg,cardboard,paper,0.933922,False
data\external_test_realwaste\cardboard\Cardboard_414.jpg,cardboard,trash,0.66087,False
data\external_test_realwaste\cardboard\Cardboard_415.jpg,cardboard,trash,0.741249,False
data\external_test_realwaste\cardboard\Cardboard_416.jpg,cardboard,paper,0.906909,False
data\external_test_realwaste\cardboard\Cardboard_417.jpg,cardboard,trash,0.804871,False
data\external_test_realwaste\cardboard\Cardboard_418.jpg,cardboard,paper,0.924476,False
data\external_test_realwaste\cardboard\Cardboard_419.jpg,cardboard,paper,0.540642,True
data\external_test_realwaste\cardboard\Cardboard_420.jpg,cardboard,paper,0.944399,False
data\external_test_realwaste\cardboard\Cardboard_421.jpg,cardboard,paper,0.924055,False
data\external_test_realwaste\cardboard\Cardboard_422.jpg,cardboard,paper,0.97761,False
data\external_test_realwaste\cardboard\Cardboard_423.jpg,cardboard,paper,0.662568,False
data\external_test_realwaste\cardboard\Cardboard_424.jpg,cardboard,metal,0.631211,False
data\external_test_realwaste\cardboard\Cardboard_425.jpg,cardboard,paper,0.480287,True
data\external_test_realwaste\cardboard\Cardboard_426.jpg,cardboard,trash,0.931711,False
data\external_test_realwaste\cardboard\Cardboard_427.jpg,cardboard,trash,0.91411,False
data\external_test_realwaste\cardboard\Cardboard_428.jpg,cardboard,trash,0.80091,False
data\external_test_realwaste\cardboard\Cardboard_429.jpg,cardboard,paper,0.995217,False
data\external_test_realwaste\cardboard\Cardboard_430.jpg,cardboard,trash,0.95894,False
data\external_test_realwaste\cardboard\Cardboard_431.jpg,cardboard,trash,0.895683,False
data\external_test_realwaste\cardboard\Cardboard_432.jpg,cardboard,trash,0.967881,False
data\external_test_realwaste\cardboard\Cardboard_433.jpg,cardboard,trash,0.454518,True
data\external_test_realwaste\cardboard\Cardboard_434.jpg,cardboard,plastic,0.363231,True
data\external_test_realwaste\cardboard\Cardboard_435.jpg,cardboard,plastic,0.71232,False
data\external_test_realwaste\cardboard\Cardboard_436.jpg,cardboard,paper,0.598537,True
data\external_test_realwaste\cardboard\Cardboard_438.jpg,cardboard,paper,0.599395,True
data\external_test_realwaste\cardboard\Cardboard_439.jpg,cardboard,paper,0.946226,False
data\external_test_realwaste\cardboard\Cardboard_44.jpg,cardboard,trash,0.91639,False
